Rank,Mountain,MountainLink,Height,Drop,lat,lon,Range,Region,Country,Firstascent
1,Mont Blanc / Monte Bianco,/wiki/Mont_Blanc,4808,4695,45°49′57″N,06°51′52″E,I/B-07.V-B,U-Savoy/Aosta,FR/IT,1786
2,Monte Rosa (Dufourspitze),/wiki/Monte_Rosa,4634,2165,45°56′13″N,07°52′01″E,I/B-09.III-A,Valais,CH,1855
3,Dom,/wiki/Dom_(mountain),4545,1046,46°05′38″N,07°51′32″E,I/B-09.V-A,Valais,CH,1858
4,Liskamm,/wiki/Liskamm,4527,376,45°55′20″N,07°50′08″E,I/B-09.III-A,Valais/Aosta,CH/IT,1861
5,Weisshorn,/wiki/Weisshorn,4506,1235,46°06′05″N,07°42′57″E,I/B-09.II-D,Valais,CH,1861
6,Matterhorn / Monte Cervino,/wiki/Matterhorn,4478,1042,45°58′35″N,07°39′31″E,I/B-09.II-A,Valais/Aosta,CH/IT,1865
7,Dent Blanche,/wiki/Dent_Blanche,4357,915,46°02′03″N,07°36′43″E,I/B-09.II-C,Valais,CH,1862
8,Grand Combin,/wiki/Grand_Combin,4314,1517,45°56′15″N,07°17′57″E,I/B-09.I-B,Valais,CH,1859
9,Finsteraarhorn,/wiki/Finsteraarhorn,4274,2280,46°32′14″N,08°07′34″E,I/B-12.II-A,Bern/Valais,CH,1829
10,Zinalrothorn,/wiki/Zinalrothorn,4221,490,46°03′54″N,07°41′25″E,I/B-09.II-D,Valais,CH,1864
11,Grandes Jorasses (Pointe Walker),/wiki/Grandes_Jorasses,4208,843,45°52′09″N,06°59′18″E,I/B-07.V-B,U-Savoy/Aosta,FR/IT,1868
12,Alphubel,/wiki/Alphubel,4206,359,46°03′47″N,07°51′50″E,I/B-09.V-A,Valais,CH,1860
13,Rimpfischhorn,/wiki/Rimpfischhorn,4199,642,46°01′24″N,07°53′03″E,I/B-09.V-A,Valais,CH,1859
14,Aletschhorn,/wiki/Aletschhorn,4193,1029,46°27′54″N,07°59′38″E,I/B-12.II-E,Valais,CH,1859
15,Strahlhorn,/wiki/Strahlhorn,4190,401,46°00′48″N,07°54′06″E,I/B-09.V-A,Valais,CH,1854
16,Dent d'Hérens,/wiki/Dent_d%27H%C3%A9rens,4174,701,45°58′12″N,07°36′19″E,I/B-09.II-A,Valais/Aosta,CH/IT,1863
17,Breithorn,/wiki/Breithorn,4164,439,45°56′28″N,07°44′56″E,I/B-09.III-A,Valais/Aosta,CH/IT,1813
18,Jungfrau,/wiki/Jungfrau,4158,687,46°32′12″N,07°57′45″E,I/B-12.II-B,Bern/Valais,CH,1811
19,Aiguille Verte,/wiki/Aiguille_Verte,4122,689,45°56′05″N,06°58′13″E,I/B-07.V-B,Upper Savoy,FR,1865
